Nombre del alimento;GRUPO;SUBGRUPO;Calorías;Humedad;Proteínas;grasas;Carbohid.;Fibra;Calcio;Fósforo;Hierro;Sodio;Potasio;Zinc;Vit. A;Vit. B1;Vit. B2;Niacina;Vit. C
;;;Kcal.;Hum(%);Prot(g);Lip(g);Glu(g);Fib.(mg);Ca(mg);P (mg);Fe (mg);Na (mg);k (mg);Zn (mg);A (mcg);B1(mg);B2(mg);PP (mg);C (mg)
AMARANTO;ENERGÉTICOS;CEREALES;366;12,3;12,9;7,2;6,1;6,7;179;474;5,3;0;0;0;210;0,2;0,57;0,95;23
ARROZ;ENERGÉTICOS;CEREALES;364;11,2;7,82;0,24;79,93;0,7;17;105;6,2;3,2;108;0,2;0;0,06;0,03;2,06;0
AVENA;ENERGÉTICOS;CEREALES;355;11,9;16,86;2,68;63,63;1,8;52;358;6,3;1,4;341;3;0;0,44;0,16;2,25;1
CAÑAHUA;ENERGÉTICOS;CEREALES;347;11,5;13,43;2,4;67,89;11,4;90;412;60,8;0;0;0;0;0,34;0,25;1;0
CAÑAHUA PITO;ENERGÉTICOS;CEREALES;348;7,3;14,62;4,71;67,78;6,1;157;373;13,6;0;0;0;0;0,14;0,53;1,62;1
PITPO DE TRIGO ;ENERGÉTICOS;CEREALES;348;7,3;14,62;4,71;67,78;6,1;157;373;13,6;0;0;0;0;0,14;0,53;1,62;1
CEBADA;ENERGÉTICOS;CEREALES;357;9,5;11,8;1,12;74,99;6,6;54;323;5,8;4,5;149;2,4;0;0,25;0,18;6,25;0
MAÍZ BLANCO;ENERGÉTICOS;CEREALES;362;10,8;8,59;4,26;75,1;2,2;9;226;4,2;3;310;2;0;0,14;0,15;3,31;0
MAÍZ AMARILLO;ENERGÉTICOS;CEREALES;362;10,7;7,23;4,14;76,4;2,4;10;275;3,2;0,8;231;0;0;0,12;0,12;2,5;0
MAÍZ AMARILLO HARINA;ENERGÉTICOS;CEREALES;363;12;7,9;1,2;78,4;0,6;6;99;1,1;25;269;2,5;0;0,14;0,05;1;0
LAGUA DE CHOCLO;ENERGÉTICOS;CEREALES;363;12;7,9;1,2;78,4;0,6;6;99;1,1;25;269;2,5;0;0,14;0,05;1;0
MAÍZ TOSTADO;ENERGÉTICOS;CEREALES;375;7,16;8,91;4,46;77,7;3,96;10;261;3,6;25;2,69;2,5;0;0,21;0,19;2,32;1
MAÍZ PELADO;ENERGÉTICOS;CEREALES;363;10,4;6,44;3,88;77,77;1,5;51;266;4,5;3;310;0;0;0,18;0,04;1,87;0
MAÍZ MORADO HARINA (API);ENERGÉTICOS;CEREALES;351;11,8;8,54;3,2;74,75;2,5;8;290;4,7;3;310;0;0;0,24;0,19;1,94;2
API ;ENERGÉTICOS;CEREALES;351;11,8;8,54;3,2;74,75;2,5;8;290;4,7;3;310;0;0;0,24;0,19;1,94;2
MAÍZ JANKAQUIPA;ENERGÉTICOS;CEREALES;378;6,9;9,04;4,82;77,65;2,6;11;288;6,8;1;231;0;0;0,17;0,19;2,94;0
MAICENA;ENERGÉTICOS;CEREALES;357;12,1;7,9;2,2;76,39;0,7;0;0;0;4;4;0;0;0;0;0;0
QUINUA;ENERGÉTICOS;CEREALES;377;9,7;11,84;5,7;69,68;2,4;51;414;9,7;0;0;0;0;0,27;0,26;1,06;1
HOJUELA QUINUA;ENERGÉTICOS;CEREALES;377;9,7;11,84;5,7;69,68;2,4;51;414;9,7;0;0;0;0;0,27;0,26;1,06;1
QUINUA HARINA;ENERGÉTICOS;CEREALES;382;9,9;10,78;6,33;70,55;2;41;441;8,7;0;0;0;0;0,28;0,21;1,27;0
SÉMOLA;ENERGÉTICOS;CEREALES;346;13;12;1;75;0,3;12;140;1,5;8;190;0;0;0,15;0,06;0,09;0
TRIGO;ENERGÉTICOS;CEREALES;334;10,9;9,9;1,24;76,25;3,3;54;243;4,7;20;385;5,5;0;0,32;0,18;3,75;1
HOJUELA TRIGO;ENERGÉTICOS;CEREALES;334;10,9;9,9;1,24;76,25;3,3;54;243;4,7;20;385;5,5;0;0,32;0,18;3,75;1
Chaje de trigo;ENERGÉTICOS;CEREALES;334;10,9;9,9;1,24;76,25;3,3;54;243;4,7;20;385;5,5;0;0,32;0,18;3,75;1
TRIGO AFRECHILLO;ENERGÉTICOS;CEREALES;360;6,9;11,27;3,57;73,19;9,4;171;728;19,5;2;290;10;6;0,36;0,88;8,69;0
TRIGO HARINA BLANCA;ENERGÉTICOS;CEREALES;365;12;11,8;1,1;74,7;0;16;95;0,9;3,5;138;5,5;0;0,06;0,06;1;0
HARINA ;ENERGÉTICOS;CEREALES;365;12;11,8;1,1;74,7;0;16;95;0,9;3,5;138;5,5;0;0,06;0,06;1;0
TRIGO HARINA INTEG.;ENERGÉTICOS;CEREALES;339;10;9,25;1,32;77,67;2,5;55;222;12,5;5;276;0;0;0,2;0,14;3,12;1
TRIGO JANKAQUIPA;ENERGÉTICOS;CEREALES;343;8,3;10,78;1,6;77,63;3,3;52;268;4,3;0;0;0;0;0,22;0,11;2;1
Jankaquipa;ENERGÉTICOS;CEREALES;343;8,3;10,78;1,6;77,63;3,3;52;268;4,3;0;0;0;0;0,22;0,11;2;1
TRIGO MOTE;ENERGÉTICOS;CEREALES;334;10;10,2;1,03;76,4;1,8;53;316;13;0;0;0;0;0,09;0,04;2,5;0
Mote;ENERGÉTICOS;CEREALES;334;10;10,2;1,03;76,4;1,8;53;316;13;0;0;0;0;0,09;0,04;2,5;0
FIDEO;ENERGÉTICOS;PROD DE CEREALES;355;13,5;11,21;0,86;73,8;0,3;38;119;7,4;8,2;302;0,3;17;0;0;0,66;0
GALLETAS DE AGUA;ENERGÉTICOS;PROD DE CEREALES;421;2,7;13,02;9,46;72,86;0,4;39;169;5,4;1100;120;0;53;0;0;1,73;1
GALLETAS MARIA;ENERGÉTICOS;PROD DE CEREALES;430;1,8;8,5;8,83;79,25;0,5;39;219;4,9;0;0;0;17;0;0;1,53;1
GALLETAS WAFFER;ENERGÉTICOS;PROD DE CEREALES;510;1,8;9,51;24,64;62,71;0,4;105;175;2,8;8,2;272;0;98;0;0;3,9;2
PAN BISCOCHO;ENERGÉTICOS;PROD DE CEREALES;345;22;8,32;7,24;61,64;0,5;42;71;2,9;412;98;1,6;4;0,06;0,22;2,11;0
PAN BLANCO;ENERGÉTICOS;PROD DE CEREALES;350;17,8;6,12;5,2;69,75;0,5;66;104;4,7;498;97;2;4;0,07;0,19;2,85;0
Pan molido;ENERGÉTICOS;PROD DE CEREALES;350;17,8;6,12;5,2;69,75;0,5;66;104;4,7;498;97;2;4;0,07;0,19;2,85;0
PAN INTEG. TRIGO;ENERGÉTICOS;PROD DE CEREALES;256;29,5;9;1,5;57,5;1;49;209;3,6;930;208;5;0;0,19;0,13;2,2;0
PAN MARRAQUETA;ENERGÉTICOS;PROD DE CEREALES;293;26,3;8,84;0,51;62,96;0,3;36;113;4,5;498;97;2;3;0,07;0,18;2,8;0
CERELAC;ENERGÉTICOS;PROD DE CEREALES;423;1,5;11,5;7,4;77,6;0;275;225;6,2;99;334;0;750;0,2;0,3;3,8;20
MAISOY HOJUELAS;ENERGÉTICOS;PROD DE CEREALES;398;4,6;18,12;4,7;70,93;2,1;111;259;7,9;660;180;0;218;0,12;0,2;1;0
PASANKALLA;ENERGÉTICOS;PROD DE CEREALES;377;6,9;9,33;4,14;78,73;2;80;144;32;0;0;0;71;0;0;1,54;1
AJIPA;ENERGÉTICOS;RAÍCES / TUBÉRCULOS;129;65,8;2,06;0,31;31,35;2,4;33;30;0,7;0;0;0;0;0,04;0,07;0,73;8
CAMOTE;ENERGÉTICOS;RAÍCES / TUBÉRCULOS;119;69,2;1,46;0,21;28,01;0,9;111;48;1,3;19;320;0;57;0,1;0,04;1,04;19
CAYA;ENERGÉTICOS;RAÍCES / TUBÉRCULOS;341;13,5;2,5;0,45;81,89;3,1;57;53;3,7;0;0;0;60;0,06;0,18;0,45;18
IZAÑO;ENERGÉTICOS;RAÍCES / TUBÉRCULOS;90;74,5;2,83;0,3;20;1,5;15;107;2,8;0;0;0;224;0,05;0,08;3,21;2
OCA;ENERGÉTICOS;RAÍCES / TUBÉRCULOS;77;80,3;1,84;0,5;17,7;0,7;10;31;0,6;0;0;0;103;0,05;0,09;0,39;39
PAPA;ENERGÉTICOS;RAÍCES / TUBÉRCULOS;93;75,5;2,71;0,1;21,12;0,4;4;37;1;7;440;0;0;0,08;0,06;1,09;12
TUNTA;ENERGÉTICOS;RAÍCES / TUBÉRCULOS;348;13,2;2,83;0,39;83,23;2;72;52;4,4;0;0;0;0;0,02;0,02;0,92;0
CHUÑO;ENERGÉTICOS;RAÍCES / TUBÉRCULOS;336;14,1;3,49;0,22;80,15;1,7;18;101;5,7;0;0;0;0;0,05;0,02;1,62;1
Lagua de chuño;ENERGÉTICOS;RAÍCES / TUBÉRCULOS;336;14,1;3,49;0,22;80,15;1,7;18;101;5,7;0;0;0;0;0,05;0,02;1,62;1
PAPALIZA;ENERGÉTICOS;RAÍCES / TUBÉRCULOS;61;83,8;1,71;0,11;13,62;0,4;6;26;5;0;0;0;84;0,04;0,06;0,94;25
RACACHA;ENERGÉTICOS;RAÍCES / TUBÉRCULOS;109;71,9;1,18;0,19;25,82;0,8;37;43;1,2;0;0;0;45;0,06;0,12;0,46;18
WALUSA;ENERGÉTICOS;RAÍCES / TUBÉRCULOS;65;82,5;1,6;0,1;14,7;0,6;22;59;1,8;0;0;0;0;0,08;0,06;0,48;3
YUCA;ENERGÉTICOS;RAÍCES / TUBÉRCULOS;148;62,2;1,05;0,22;35,51;1;28;55;1,2;4;20;0;0;0,05;0,1;0,76;41
YUCA HARINA;ENERGÉTICOS;RAÍCES / TUBÉRCULOS;341;15,7;1,1;0,66;82,38;0,1;15;30;2,4;0;0;0;40;0,04;0,03;0,36;3
ACEITE VEGETAL;ENERGÉTICOS;GRASAS/CEREALES;880;0,03;0,22;99,22;0;0;5;3;0,7;0,2;0,1;0;3;0,5;0,08;0,38;0
CEBO;ENERGÉTICOS;GRASAS/CEREALES;540;5,4;1,7;92,4;0;0;1;0;0,3;0;0;0;0;0,8;0,02;0,4;0
